country,year,average_salary_per_month
MUS,2023,278.926
MUS,2022,454.067
MUS,2021,477.366
MUS,2020,445.716
MUS,2019,493.595
MUS,2018,547.847
MUS,2017,508.546
MUS,2016,458.562
MUS,2015,472.207
MUS,2014,511.014
MUS,2013,449.676
MUS,2012,403.495
MUS,2010,356.258
MUS,2009,317.763
MUS,2008,313.315
MUS,2007,254.3
MUS,2006,233.025
MUS,2005,251.132
MUS,2004,230.527
MUS,2003,214.903
MUS,2002,186.088
MUS,2001,175.881
MWI,2013,44.657
NAM,2018,515.359
NAM,2016,462.267
NAM,2014,573.418
NAM,2013,633.07
NAM,2012,609.832
NER,2022,109.245
NER,2019,124.408
NER,2014,212.583
NER,2011,60.391
NGA,2019,110.915
NIC,2014,415.731
NIC,2012,178.95
NIC,2005,163.15
NLD,2022,4254.953
NLD,2021,4538.041
NLD,2020,4168.928
NLD,2019,3862.421
NLD,2018,3957.961
NLD,2017,3746.453
NLD,2016,3600.247
NLD,2015,3688.625
NLD,2014,4339.974
NLD,2013,4071.509
NLD,2012,3777.881
NLD,2011,4113.54
NLD,2010,3875.337
NLD,2009,3794.984
NLD,2008,3863.529
NLD,2007,3513.905
NLD,2006,2460.003
NLD,2005,2554.063
NOR,2020,5406.602
NOR,2019,5166.793
NOR,2018,5449.619
NOR,2017,5123.16
NOR,2016,5014.467
NOR,2015,5201.215
NOR,2014,6535.979
NOR,2013,6191.914
NOR,2012,5524.661
NOR,2011,5487.399
NOR,2010,4591.511
NOR,2009,4964.68
NOR,2008,4901.196
NOR,2007,4330.229
NOR,2006,3303.413
NOR,2005,3038.805
NOR,2004,3203.444
NPL,2017,130.409
NPL,2008,68.994
PAK,2021,122.896
PAK,2019,105.297
PAK,2018,101.58
PAK,2016,66.694
PAK,2015,99.786
PAK,2014,85.713
PAK,2013,81.244
PAK,2012,46.22
PAK,2011,77.835
PAK,2010,71.382
PAK,2009,66.616
PAK,2008,57.962
PAK,2007,62.639
PAK,2006,58.85
PAK,2005,42.14
PAN,2023,919.514
PAN,2022,875.851
PAN,2021,980.74
PAN,2020,971.214
PAN,2019,874.245
PAN,2018,870.604
PAN,2017,865.558
PAN,2016,792.59
PAN,2015,733.036
PAN,2014,679.288
PAN,2013,655.433
PAN,2012,630.47
PAN,2011,566.978
PAN,2010,505.335
PAN,2009,469.887
PAN,2008,467.971
PAN,2007,410.247
PAN,2006,395.194
PAN,2003,366.453
PER,2023,421.7
PER,2022,371.714
PER,2021,383.858
PER,2020,394.669
PER,2019,420.887
PER,2018,401.849
PER,2017,391.809
PER,2016,374.14
PER,2015,368.868
PER,2014,400.794
PER,2013,394.975
PER,2012,385.135
PER,2011,336.648
PER,2010,303.132
PER,2009,282.819
PER,2008,258.58
PER,2007,244.744
PER,2006,211.787
PER,2005,194.333
PER,2004,180.48
PER,2003,204.299
PER,2002,207.241
PER,2001,176.415
PER,2000,180.805
PHL,2022,313.72
PHL,2021,330.801
PHL,2017,258.785
PHL,2003,128.883
POL,2022,1257.164
POL,2021,1267.906
POL,2020,1196.775
POL,2019,1070.636
POL,2018,1047.166
POL,2017,920.818
POL,2016,908.536
POL,2015,868.052
POL,2014,1060.393
POL,2013,1028.941
POL,2012,976.322
POL,2011,1045.948
POL,2010,887.052
POL,2009,1095.008
POL,2008,979.27
POL,2007,792.058
POL,2006,621.678
POL,2005,517.004
PRT,2023,1068.779
PRT,2022,1018.467
PRT,2021,1102.386
PRT,2020,1001.197
PRT,2019,924.196
PRT,2018,956.684
PRT,2017,885.799
PRT,2016,848.436
PRT,2015,840.706
PRT,2014,985.988
PRT,2013,970.972
PRT,2012,952.021
PRT,2011,1016.195
PRT,2010,952.434
PRT,2009,973.643
PRT,2008,995.507
PRT,2007,896.509
PRT,2006,809.932
PRT,2005,780.205
PRT,2004,761.614
PRT,2003,657.4
PRY,2017,331.737
PRY,2016,325.777
PRY,2015,357.644
PRY,2014,383.311
PRY,2013,384.698
PRY,2012,329.881
PRY,2011,335.047
PRY,2010,245.319
PRY,2009,215.276
PRY,2008,231.64
PRY,2007,172.064
PRY,2006,155.092
PRY,2005,123.937
PRY,2004,113.751
PRY,2003,106.348
PRY,2002,104.951
PRY,2001,184.589
ROU,2022,993.134
ROU,2021,1076.619
ROU,2020,911.973
ROU,2019,863.374
ROU,2018,633.153
ROU,2017,475.632
ROU,2016,413.816
ROU,2015,371.798
ROU,2014,428.029
ROU,2013,401.095
ROU,2012,384.987
ROU,2011,416.909
ROU,2010,392.045
ROU,2009,447.466
ROU,2008,445.404
ROU,2007,355.213
RWA,2023,35.648
RWA,2022,30.83
RWA,2021,31.976
RWA,2017,41.008
RWA,2014,69.584
SDN,2022,125.276
SDN,2011,151.154
SEN,2022,143.511
SEN,2019,99.856
SEN,2011,192.973
SLB,2005,1584.268
SLV,2019,335.948
SLV,2018,324.751
SLV,2017,307.992
SLV,2016,286.093
SLV,2015,299.418
SLV,2014,297.249
SLV,2013,292.555
SLV,2012,273.03
SLV,2011,269.89
SLV,2010,267.17
SRB,2021,797.974
SRB,2020,713.294
SRB,2019,878.874
SRB,2018,824.477
SRB,2017,801.77
SRB,2016,755.461
SRB,2015,763.073
SRB,2014,953.95
SRB,2013,679.934
SUR,2016,350.384
SVK,2022,1216.745
SVK,2021,1409.741
SVK,2020,1375.348
SVK,2019,1242.267
SVK,2018,1227.652
SVK,2017,1101.973
SVK,2016,1058.343
SVK,2015,1075.101
SVK,2014,1243.741
SVK,2013,1091.069
SVK,2012,1100.662
SVK,2011,1103.648
SVK,2010,1081.816
SVK,2009,1078.489
SVK,2008,926.301
SVK,2007,724.649
SVK,2006,426.372
SVK,2005,378.457
SVN,2022,2563.658
SVN,2021,2653.928
SVN,2020,2403.885
SVN,2019,2274.229
SVN,2018,2313.956
SVN,2017,2162.721
SVN,2016,2077.622
SVN,2015,2114.558
SVN,2014,2489.294
SVN,2013,2462.962
SVN,2012,2406.867
SVN,2011,2511.056
SVN,2010,2333.065
SVN,2009,2350.275
SVN,2008,2371.732
SVN,2007,2076.591
SVN,2006,1499.767
SVN,2005,1419.364
SWE,2022,4058.603
SWE,2021,4227.807
SWE,2020,3845.543
SWE,2019,3858.743
SWE,2018,4142.154
SWE,2017,3909.644
SWE,2016,3679.175
SWE,2015,3512.46
SWE,2014,4295.781
SWE,2013,4272.574
SWE,2012,3860.814
SWE,2011,3731.228
SWE,2010,3162.807
SWE,2009,3539.51
SWE,2008,3669.315
SWE,2007,3296.213
SWE,2006,2356.714
SWE,2005,2335.152
SWE,2004,2309.358
SWZ,2021,359.713
SWZ,2016,291.526
TCD,2018,181.807
TGO,2022,104.76
TGO,2019,127.231
TGO,2017,138.787
TGO,2015,186.946
TGO,2011,180.914
THA,2023,477.13
THA,2022,469.579
THA,2021,493.603
THA,2020,498.598
THA,2019,493.624
THA,2018,465.564
THA,2017,437.055
THA,2016,417.702
THA,2015,321.754
THA,2014,431.192
THA,2013,432.092
THA,2007,260.531
THA,2000,154.624
TJK,2009,42.247
TJK,2007,39.248
TJK,2003,8.322
