"ref_area","source","indicator","sex","classif1","classif2","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2011",359.766,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2011",619.12,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_ADV","CUR_TYPE_USD","2011",971.036,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_X","CUR_TYPE_USD","2011",730.356,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARM","BB:173","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2021",206.674,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2021",179.547,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2021",190.999,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_ADV","CUR_TYPE_USD","2021",212.31,,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2020",196.068,,,"T8:6262_T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2020",144.145,,,"T8:6262_T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2020",165.896,,"C3:2620","T8:6262_T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_ADV","CUR_TYPE_USD","2020",230.53,,,"T8:6262_T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2019",192.503,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2019",164.892,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2019",172.469,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_ADV","CUR_TYPE_USD","2019",201.868,,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2017",174.893,,,"T8:6262_T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2017",123.787,,,"T8:6262_T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2017",145.968,,"C3:2620","T8:6262_T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_ADV","CUR_TYPE_USD","2017",207.949,,,"T8:6262_T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2016",165.543,,,"T8:6262_T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2016",140.497,,,"T8:6262_T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2016",140.304,,"C3:2620","T8:6262_T30:111","R1:3513_T3:240"
